state_code,county,tract,block,aapi,aian,black,hispanic,other,white
09,001,010101,101,0,1,40,17,0,9
09,001,010101,102,4,0,0,17,1,279
09,001,010101,103,1,0,0,4,0,13
09,001,010101,104,4,0,0,0,0,60
09,001,010101,105,4,0,0,4,0,158
09,001,010101,107,0,0,0,1,0,109
09,001,010101,108,0,0,0,0,0,18
09,001,010101,109,0,0,1,0,0,55
09,001,010101,201,0,0,0,0,0,42
09,001,010101,202,0,0,0,0,0,31
09,001,010101,204,4,0,2,1,0,17
09,001,010101,205,0,0,0,0,0,39
09,001,010101,206,19,0,0,8,0,337
09,001,010101,207,0,0,0,0,0,7
09,001,010101,208,0,0,0,0,0,11
09,001,010101,209,0,0,0,1,0,52
09,001,010101,210,6,0,1,4,1,221
09,001,010101,211,0,0,0,0,0,29
09,001,010101,301,4,0,0,0,0,10
09,001,010101,302,5,0,8,14,0,220
09,001,010101,303,0,0,0,0,0,17
09,001,010101,304,0,0,0,0,0,1
09,001,010101,305,0,2,0,0,0,35
09,001,010101,306,0,0,0,0,0,10
09,001,010101,307,0,0,1,3,0,147
09,001,010101,308,0,0,0,2,0,14
09,001,010101,309,0,0,0,0,0,79
09,001,010101,310,0,0,1,0,0,1
09,001,010101,311,0,0,0,0,0,4
09,001,010101,312,7,0,0,6,0,67
09,001,010101,313,0,0,0,0,0,15
09,001,010101,314,0,0,0,0,0,48
09,001,010101,315,0,0,0,0,0,6
09,001,010101,318,0,0,1,0,0,120
09,001,010101,319,0,0,1,6,0,39
09,001,010101,321,7,0,0,0,0,24
09,001,010101,322,0,0,0,2,0,12
09,001,010101,323,0,0,0,1,0,31
09,001,010101,325,9,0,3,8,0,309
09,001,010101,326,0,0,0,3,0,10
09,001,010101,401,0,0,0,0,0,19
09,001,010101,403,6,0,0,4,0,84
09,001,010101,404,6,0,0,3,0,117
09,001,010101,405,0,0,0,0,0,2
09,001,010101,406,0,0,0,1,0,56
09,001,010101,407,0,0,0,1,0,9
09,001,010101,408,0,0,0,0,0,4
09,001,010101,409,2,0,0,8,0,23
09,001,010101,410,0,0,0,0,0,34
09,001,010101,411,0,0,0,0,0,9
09,001,010101,412,0,0,0,0,0,9
09,001,010101,413,4,0,0,0,0,85
09,001,010101,414,2,0,0,2,0,54
09,001,010101,418,0,0,3,0,0,22
09,001,010101,419,6,0,0,2,0,92
09,001,010101,421,2,0,6,0,2,298
09,001,010101,422,0,0,0,0,0,10
09,001,010101,423,2,0,1,0,0,215
09,001,010101,424,2,0,2,0,0,113
09,001,010101,425,0,0,0,0,0,9
09,001,010102,101,0,0,0,3,0,9
09,001,010102,102,0,0,0,1,0,37
09,001,010102,103,0,0,0,1,0,80
09,001,010102,104,0,0,0,0,0,17
09,001,010102,105,0,0,2,6,0,103
09,001,010102,106,5,0,0,1,2,71
09,001,010102,107,0,0,0,0,0,34
09,001,010102,108,0,0,0,0,0,43
09,001,010102,109,1,0,0,0,0,41
09,001,010102,110,0,0,0,0,0,59
09,001,010102,111,0,0,0,11,0,36
09,001,010102,112,0,0,0,0,0,13
09,001,010102,113,2,0,0,0,0,86
09,001,010102,114,0,0,2,0,0,13
09,001,010102,115,10,0,0,2,0,75
09,001,010102,116,2,0,0,0,0,2
09,001,010102,117,3,0,0,3,0,70
09,001,010102,118,6,0,0,9,0,197
09,001,010102,119,0,0,2,8,0,50
09,001,010102,120,0,0,0,1,0,4
09,001,010102,121,19,0,1,3,0,112
09,001,010102,122,8,0,0,0,0,57
09,001,010102,123,0,0,0,0,0,3
09,001,010102,124,0,0,0,0,0,11
09,001,010102,201,0,0,0,7,0,27
09,001,010102,202,0,0,3,10,0,233
09,001,010102,203,2,0,3,0,0,31
09,001,010102,205,0,0,0,0,0,2
09,001,010102,206,0,0,0,1,0,44
09,001,010102,207,0,0,0,0,0,10
09,001,010102,209,6,0,0,1,0,63
09,001,010102,211,2,0,0,2,0,51
09,001,010102,212,2,0,1,7,0,74
09,001,010102,213,0,0,0,0,0,50
09,001,010102,215,1,0,1,0,0,43
09,001,010102,216B,0,0,0,2,0,13
09,001,010102,217,5,0,0,3,0,42
09,001,010102,218,0,0,0,2,0,44
09,001,010102,219,9,0,0,0,0,79
09,001,010102,220,0,0,1,0,0,72
09,001,010102,222,0,0,4,2,0,38
09,001,010102,223,0,0,0,2,0,25
09,001,010102,224,6,0,0,1,0,6
09,001,010102,227,1,0,1,0,0,22
09,001,010102,228,2,0,0,0,0,39
09,001,010102,229,0,0,0,0,0,47
09,001,010102,230,0,0,0,2,0,26
09,001,010102,231,0,0,0,5,0,25
09,001,010102,232,0,0,0,4,0,17
09,001,010102,233,3,0,0,2,0,15
09,001,010102,234,2,0,1,7,0,223
09,001,010102,235,1,0,0,0,0,19
09,001,010102,301,2,0,0,35,0,243
09,001,010102,302,0,1,0,11,0,88
09,001,010102,303,0,0,0,0,0,26
09,001,010102,304,4,0,0,2,0,32
09,001,010102,305,0,0,0,1,0,27
09,001,010102,306,0,0,0,0,0,8
09,001,010102,307,0,0,0,1,0,5
09,001,010102,308,1,0,0,0,0,15
09,001,010102,309,0,0,2,2,0,54
09,001,010102,310,0,0,0,0,0,7
09,001,010102,311,0,0,0,0,0,21
09,001,010102,312,4,0,0,1,0,114
09,001,010102,314,0,0,0,0,0,4
09,001,010102,316,0,0,2,0,0,104
09,001,010102,317,0,0,0,0,0,11
09,001,010102,318,0,0,0,0,0,8
09,001,010102,319,0,0,0,1,0,9
09,001,010102,321,0,0,0,0,0,20
09,001,010102,322,0,0,0,0,0,2
09,001,010102,323,0,0,0,0,0,7
09,001,010102,402,0,0,0,0,0,4
09,001,010102,403,8,0,1,2,0,110
09,001,010102,404,0,0,0,2,1,40
09,001,010102,405,0,0,0,3,0,30
09,001,010102,406,0,0,0,1,0,7
09,001,010102,407,1,0,1,0,1,53
09,001,010102,408,1,0,1,3,0,28
09,001,010102,409,1,0,0,1,0,37
09,001,010102,410,0,0,1,4,0,46
09,001,010102,411,0,0,0,1,0,4
09,001,010102,412,0,0,0,0,0,23
09,001,010102,414,0,0,0,2,0,37
09,001,010102,415,1,0,1,2,2,111
09,001,010201,201,7,0,0,17,0,166
09,001,010201,202,0,0,0,1,0,34
09,001,010201,203,1,0,1,3,0,66
09,001,010201,204,3,0,0,21,0,153
09,001,010201,205,6,0,0,0,0,36
09,001,010201,206,8,0,0,1,0,38
09,001,010201,207,0,0,0,0,0,29
09,001,010201,208,3,0,0,0,0,10
09,001,010201,209,0,0,0,0,0,54
09,001,010201,210,8,0,2,0,0,194
09,001,010201,212,0,0,2,0,0,50
09,001,010201,213,0,0,1,0,0,39
09,001,010201,214,0,0,0,4,0,17
09,001,010201,301,0,0,0,0,0,50
09,001,010201,302,1,0,0,0,0,95
09,001,010201,303,1,0,5,4,0,165
09,001,010201,304,0,0,0,0,0,14
09,001,010201,305,0,0,4,2,0,234
09,001,010201,306,0,0,1,0,0,31
09,001,010201,307,0,0,2,10,0,210
09,001,010201,308,3,0,2,10,0,196
09,001,010201,309,1,0,2,7,0,108
09,001,010201,310,0,0,0,0,0,61
09,001,010201,401,6,0,0,10,0,129
09,001,010201,402A,0,0,0,7,0,33
09,001,010201,403,0,0,0,3,0,48
09,001,010201,404,2,0,2,2,0,111
09,001,010201,405A,0,0,0,0,0,33
09,001,010201,406,0,0,0,5,0,93
09,001,010201,407,0,0,0,0,0,17
09,001,010201,408,2,0,0,1,0,70
09,001,010201,409,3,0,0,1,0,99
09,001,010201,410,6,0,2,1,0,190
09,001,010201,411,0,0,1,5,0,47
09,001,010201,412B,0,0,0,1,0,19
09,001,010202,101,8,0,1,1,0,315
09,001,010202,103,0,0,0,0,0,46
09,001,010202,104,9,0,0,5,0,194
09,001,010202,106,0,0,0,0,0,11
09,001,010202,107,8,0,0,14,0,118
09,001,010202,110,4,0,0,7,0,160
09,001,010202,201,17,0,0,8,0,333
09,001,010202,202,0,1,0,0,1,9
09,001,010202,203,5,0,0,6,0,54
09,001,010202,211,0,0,0,1,0,27
09,001,010202,212,0,0,5,6,0,48
09,001,010202,301,2,0,0,0,0,176
09,001,010202,302,9,0,0,4,0,256
09,001,010202,303,16,0,0,4,0,390
09,001,010202,304,3,0,1,3,0,113
09,001,010202,305,10,0,1,0,0,90
09,001,010202,306,23,0,1,8,0,374
09,001,010202,307,0,0,0,2,0,31
09,001,010202,401,2,0,0,0,0,127
09,001,010202,402,0,0,0,0,0,0
09,001,010202,403,39,0,6,10,1,427
